team_name,team_id,gameday,points,league_member_name,display_name
LazyBoys,623050307,22,231.0,Rajesh,Rajesh
Sunny super kings,243670206,22,143.0,Harpreet,Harpreet
Bens XI,143920506,22,115.5,Ben,Ben
SanjuPaglu,230850202,22,67.0,Bijil,Bijil
Ravs XI,136580310,22,0.0,Ravtaj,Ravtaj
BlAcKKaTs,117061010,22,0.0,Yash,Yash
RKDEleven,318100410,22,0.0,Rohit,Rohit
BlAcKKaTs,117061010,23,608.5,Yash,Yash
Kinkartvyavimudh,255290408,23,544.0,Abhishek,Abhishek
Bens XI,143920506,23,516.0,Ben,Ben
Ashray Team,152250802,23,462.5,Ashray,Ashray
T20 Warriors XI,248520808,23,411.0,Atharva,Atharva
Ravs XI,136580310,23,394.0,Ravtaj,Ravtaj
Sunny super kings,243670206,23,329.0,Harpreet,Harpreet
RKDEleven,318100410,23,318.0,Rohit,Rohit
Team Joshi,240920202,23,291.0,Saurabh,Saurabh
Scarlet Challengers,243890103,23,218.0,Kunj,Kunj
SanjuPaglu,230850202,23,185.5,Bijil,Bijil
NSKNEMESIS,108160402,23,149.0,,NSKNEMESIS
aksesa11,242840109,23,133.0,Akshay,Akshay
LazyBoys,623050307,23,29.0,Rajesh,Rajesh
Sidhsdevilseye,243650709,23,0.0,Sidhu,Sidhu
T20 Warriors XI,248520808,24,459.0,Atharva,Atharva
Scarlet Challengers,243890103,24,452.0,Kunj,Kunj
LazyBoys,623050307,24,386.5,Rajesh,Rajesh
aksesa11,242840109,24,314.0,Akshay,Akshay
NSKNEMESIS,108160402,24,302.0,,NSKNEMESIS
Bens XI,143920506,24,235.0,Ben,Ben
SanjuPaglu,230850202,24,189.0,Bijil,Bijil
Team Joshi,240920202,24,106.5,Saurabh,Saurabh
Sidhsdevilseye,243650709,24,37.0,Sidhu,Sidhu
Ashray Team,152250802,24,35.5,Ashray,Ashray
Kinkartvyavimudh,255290408,24,0.0,Abhishek,Abhishek
Sunny super kings,243670206,24,0.0,Harpreet,Harpreet
Ravs XI,136580310,24,0.0,Ravtaj,Ravtaj
BlAcKKaTs,117061010,24,0.0,Yash,Yash
RKDEleven,318100410,24,0.0,Rohit,Rohit
Ashray Team,152250802,25,545.5,Ashray,Ashray
Sunny super kings,243670206,25,508.0,Harpreet,Harpreet
Scarlet Challengers,243890103,25,403.5,Kunj,Kunj
T20 Warriors XI,248520808,25,391.0,Atharva,Atharva
NSKNEMESIS,108160402,25,292.0,,NSKNEMESIS
aksesa11,242840109,25,291.0,Akshay,Akshay
Kinkartvyavimudh,255290408,25,139.5,Abhishek,Abhishek
Bens XI,143920506,25,70.0,Ben,Ben
Team Joshi,240920202,25,68.0,Saurabh,Saurabh
SanjuPaglu,230850202,25,25.0,Bijil,Bijil
Ravs XI,136580310,25,14.0,Ravtaj,Ravtaj
Sidhsdevilseye,243650709,25,13.0,Sidhu,Sidhu
BlAcKKaTs,117061010,25,0.0,Yash,Yash
LazyBoys,623050307,25,0.0,Rajesh,Rajesh
RKDEleven,318100410,25,0.0,Rohit,Rohit
Sunny super kings,243670206,26,707.0,Harpreet,Harpreet
Bens XI,143920506,26,665.0,Ben,Ben
T20 Warriors XI,248520808,26,510.0,Atharva,Atharva
BlAcKKaTs,117061010,26,441.0,Yash,Yash
SanjuPaglu,230850202,26,395.0,Bijil,Bijil
Scarlet Challengers,243890103,26,382.5,Kunj,Kunj
NSKNEMESIS,108160402,26,353.5,,NSKNEMESIS
Ashray Team,152250802,26,332.5,Ashray,Ashray
Ravs XI,136580310,26,318.0,Ravtaj,Ravtaj
Kinkartvyavimudh,255290408,26,307.0,Abhishek,Abhishek
Sidhsdevilseye,243650709,26,289.0,Sidhu,Sidhu
RKDEleven,318100410,26,213.0,Rohit,Rohit
Team Joshi,240920202,26,52.0,Saurabh,Saurabh
LazyBoys,623050307,26,39.0,Rajesh,Rajesh
aksesa11,242840109,26,36.0,Akshay,Akshay
SanjuPaglu,230850202,27,325.0,Bijil,Bijil
Ravs XI,136580310,27,317.5,Ravtaj,Ravtaj
Scarlet Challengers,243890103,27,300.5,Kunj,Kunj
Ashray Team,152250802,27,245.5,Ashray,Ashray
aksesa11,242840109,27,240.0,Akshay,Akshay
Team Joshi,240920202,27,210.0,Saurabh,Saurabh
NSKNEMESIS,108160402,27,183.0,,NSKNEMESIS
LazyBoys,623050307,27,179.0,Rajesh,Rajesh
RKDEleven,318100410,27,153.0,Rohit,Rohit
Kinkartvyavimudh,255290408,27,93.0,Abhishek,Abhishek
Sidhsdevilseye,243650709,27,78.5,Sidhu,Sidhu
T20 Warriors XI,248520808,27,0.0,Atharva,Atharva
Sunny super kings,243670206,27,0.0,Harpreet,Harpreet
Bens XI,143920506,27,0.0,Ben,Ben
BlAcKKaTs,117061010,27,0.0,Yash,Yash
aksesa11,242840109,28,821.0,Akshay,Akshay
Kinkartvyavimudh,255290408,28,392.5,Abhishek,Abhishek
Ashray Team,152250802,28,338.0,Ashray,Ashray
SanjuPaglu,230850202,28,326.5,Bijil,Bijil
Bens XI,143920506,28,323.5,Ben,Ben
NSKNEMESIS,108160402,28,272.5,,NSKNEMESIS
T20 Warriors XI,248520808,28,266.5,Atharva,Atharva
Sidhsdevilseye,243650709,28,78.0,Sidhu,Sidhu
Scarlet Challengers,243890103,28,57.0,Kunj,Kunj
Team Joshi,240920202,28,19.0,Saurabh,Saurabh
Sunny super kings,243670206,28,0.0,Harpreet,Harpreet
